Producto;Ingrediente activo;Form.;Uso Agricola;Reg. ICA;Cat. Tox.;Cultivo;Nombre común;Nombre científico;Dosis;PC ;PR ;Grupo;Subgrupo;Grupo;Subgrupo;;;;
ABACUS® SC;Piraclostrobin + Epoxiconazol;SC;Fungicida;1678;II;Maíz;Tizón foliar ;Helminthosporium maydis;0.4 L/ha;14 días;12 horas;;;;;;;;
ABAMECAL®;Abamectina;EC;Insecticida;0017;II;Rosas;Ácaros;Tetranichus urticae;0.25 - 0.65 cc/L;N.A.;6 horas;6;Avermectins, Milbemycins;;;;;;
ABAMECAL®;Abamectina;EC;Insecticida;0017;II;Tomate;Minador de la hoja;Lyriomiza trifolii;1.25 cc/L;21 días;6 horas;6;Avermectins, Milbemycins;;;;;;
ABAMECAL®;Abamectina;EC;Insecticida;0017;II;Crisantemo;Minador de la hoja;Lyriomiza trifolii;0.83 cc/L;N.A.;6 horas;6;Avermectins, Milbemycins;;;;;;
ABAMECAL®;Abamectina;EC;Insecticida;0017;II;Frijol;Minador de la hoja;Lyriomiza trifolii;600 cc/ha;21 días;6 horas;6;Avermectins, Milbemycins;;;;;;
ABAMECAL®;Abamectina;EC;Insecticida;0017;II;Naranjo;Ácaro tostador;Phyllocotruta oleivora;800 cc/ha;21 días;6 horas;6;Avermectins, Milbemycins;;;;;;
ABAMECTINA 1.8 EC - DVA;Abamectina;EC;Insecticida;1019;II;Rosas;Ácaros;Tetranichus urticae;0.3 cc/L;N.A.;1 día;6;Avermectins, Milbemycins;;;;;;
ABAMECTINA RAINBOW;Abamectina;EC;Insecticida;1336;II;Algodón;Ácaros;Tetranichus spp.;0.3 - 0.6 L/200 L;20 días;12 horas;6;Avermectins, Milbemycins;;;;;;
ABAMECTINA RAINBOW;Abamectina;EC;Insecticida;1336;II;Melon ;Ácaros;Tetranichus spp.;0.5 - 1.0 cc/ha;3 días;12 horas;6;Avermectins, Milbemycins;;;;;;
ABAMECTINA RAINBOW;Abamectina;EC;Insecticida;1336;II;Melon ;Minadores;Lyriomiza spp.;0.5 - 1.0 cc/ha;3 días;12 horas;6;Avermectins, Milbemycins;;;;;;
ABAMECTINA RAINBOW;Abamectina;EC;Insecticida;1336;II;Tomate;Ácaros;Tetranichus spp.;0.25 - 1.0 L/ha;3 días;12 horas;6;Avermectins, Milbemycins;;;;;;
ABAMECTINA RAINBOW;Abamectina;EC;Insecticida;1336;II;Tomate;Minadores;Lyriomiza spp.;0.25 - 1.0 L/ha;3 días;12 horas;6;Avermectins, Milbemycins;;;;;;
ABAMECTINA RAINBOW;Abamectina;EC;Insecticida;1336;II;Tomate;Cogollero;Tuta absoluta;0.25 - 1.0 L/ha;3 días;12 horas;6;Avermectins, Milbemycins;;;;;;
ABAMECTINA RAINBOW;Abamectina;EC;Insecticida;1336;II;Cítricos;Ácaros;Phyllocotruta oleivora;0.5 - 1.0 L/ha;7 días;12 horas;6;Avermectins, Milbemycins;;;;;;
ABAMECTINA RAINBOW;Abamectina;EC;Insecticida;1336;II;Cítricos;Ácaros;Polyphagotarson emuslatus;0.5 - 1.0 L/ha;7 días;12 horas;6;Avermectins, Milbemycins;;;;;;
ABAMECTINA RAINBOW;Abamectina;EC;Insecticida;1336;II;Cebolla;Minadores;Lyriomiza huidobrensis;0.5 - 1.0 cc/ha;3 días;12 horas;6;Avermectins, Milbemycins;;;;;;
ABASAC 1.8 EC;Abamectina;EC;Insecticida;26;II;Rosas;Ácaros;Tetranichus urticae;0.3  - 0.35 cc/L;N.A.;12 horas;6;Avermectins, Milbemycins;;;;;;
ABASAC 1.8 EC;Abamectina;EC;Insecticida;26;II;Tomate;Cogollero;Tuta absoluta;250 cc/ha;12 días;12 horas;6;Avermectins, Milbemycins;;;;;;
ABASAC 1.8 EC;Abamectina;EC;Insecticida;26;II;Limón;Ácaros;Polyphagotarsonemus latus;0.8 L/ha;7 días;12 horas;6;Avermectins, Milbemycins;;;;;;
ABASAC 1.8 EC;Abamectina;EC;Insecticida;26;II;Aguacate;Ácaros;Oligonychus sp.;0.5 cc/L;14 días;12 horas;6;Avermectins, Milbemycins;;;;;;
ACARAMIK® 1.8 EC;Abamectina;EC;Insecticida;128;II;Rosas;Ácaros;Tetranichus spp.;0.3 cc/L;N.A.;24 horas;6;Avermectins, Milbemycins;;;;;;
ACARAMIK® 1.8 EC;Abamectina;EC;Insecticida;128;II;Crisantemo;Minadores;Lyriomiza spp.;40 - 50 cc/100 L;N.A.;24 horas;6;Avermectins, Milbemycins;;;;;;
ACARAMIK® 1.8 EC;Abamectina;EC;Insecticida;128;II;Cítricos;Ácaros;Phyllocotruta oleivora;400 - 600 cc/ha;7 días;24 horas;6;Avermectins, Milbemycins;;;;;;
ACARAMIK® 1.8 EC;Abamectina;EC;Insecticida;128;II;Cítricos;Ácaros;Polyphagotarsonemus latus;400 - 600 cc/ha;7 días;24 horas;6;Avermectins, Milbemycins;;;;;;
ACARAMIK® 1.8 EC;Abamectina;EC;Insecticida;128;II;Cebolla;Minadores;Lyriomiza spp.;600 - 1000 cc/ha;3 días;24 horas;6;Avermectins, Milbemycins;;;;;;
ACARISTOP® SC;Clofentezin;SC;Insecticida;1737;IV;Clavel;Ácaros;Tetranichus urticae;0.4 cc/L;N.A.;4 horas;;;;;;;;
ACARISTOP® SC;Clofentezin;SC;Insecticida;1737;IV;Clavel;Ácaros;Tetranichus cinnabarinus;0.4 cc/L;N.A.;4 horas;;;;;;;;
ACARISTOP® SC;Clofentezin;SC;Insecticida;1737;IV;Rosas;Ácaros;Tetranichus urticae;0.4 cc/L;N.A.;4 horas;;;;;;;;
ACARISTOP® SC;Clofentezin;SC;Insecticida;1737;IV;Papaya;Ácaro rojo;Tetranichus urticae;0.6 - 0.8 cc/L;7 días;12 horas;;;;;;;;
ACERRADO® 20 EC;Cipermetrina;EC;Insecticida;473;II;Arroz;Gusano cogollero;Spodoptera frugiperda;250 cc/ha;7 días;12 horas;;;;;;;;
